-37.07141593	-37.11201806	400000
-23.88311659	-25.31459749	800000
-24.44190021	-21.15328185	1200000
-19.28581402	-21.02264604	1600000
-36.29187826	-20.40135558	2000000
-2959273.576	-19.4902092	2400000
-2294911.243	-19.4902092	2800000
-995826.2647	-19.4902092	3200000
-4103928.81	-19.4902092	3600000
-1141340.137	-19.48887972	4000000
-462468.33	-16.6409194	4400000
-530683.0972	-16.47985093	4800000
-6456.836002	-11.24664803	5200000
-361.7733637	-11.24664803	5600000
-2047.270922	-11.24664803	6000000
-1532.935909	-11.24664803	6400000
-525.307219	-11.24664803	6800000
-338.2063247	-11.24664803	7200000
-313.3982647	-11.24664803	7600000
-26625.44495	-11.24664803	8000000
-1341.303126	-5.678808847	8400000
-40915.46067	-5.678808847	8800000
-67373.93979	-5.678808847	9200000
-40357.58391	-5.678808847	9600000
-1135.877022	-5.678808847	10000000
-1201.817191	-5.678808847	10400000
