-26.43361253	-28.99570746	400000				
-13.34743458	-15.25309255					F1Full
-11.27101805	-11.77657197					
-11.73984274	-11.77657197					
-11.03474792	-11.77657197					
-6.599212818	-7.394896979					
-4.040090402	-4.296645833					
-4.357340578	-4.296645833					
-4.265161076	-4.296645833					
-4.070084939	-4.296645833					
-3.997602683	-4.296645833					
-4.479970691	-4.272568195					
-133.9908249	-3.514400456					
-165.6867379	-3.249985785					
-122.8542763	-3.249985785					
-13.57197905	-2.593869441					
-8.943967841	-2.079390828					
-8.986229464	-2.079390828					
-10.43680224	-2.079390828					
-47.63134119	-1.110619912					
-52.8048511	-1.110619912					
-52.29010381	-1.110619912					
-53.49999037	-1.110619912					
-16.29024584	-0.846280199					
-15.49710343	-0.846280199					
-14.58051936	-0.846280199					
